id,PitNextLap
439140,0.5822467
439141,0.34178177
439142,0.28031397
439143,0.3440967
439144,0.18801296
439145,0.14446996
439146,0.034885533
439147,0.0027166684
439148,0.002239292
439149,0.034962572
439150,0.0033322084
439151,0.001212291
439152,0.0011761592
439153,0.0012977428
439154,0.016488345
439155,0.020684697
439156,0.00597451
439157,0.012950824
439158,0.0056059384
439159,0.009154524
439160,0.11563025
439161,0.2188903
439162,0.5306391
439163,0.22887345
439164,0.27502784
439165,0.0031777767
439166,0.05544525
439167,0.3490814
439168,0.092814155
439169,0.2723615
439170,0.08804895
439171,0.018590853
439172,0.015159988
439173,0.032966558
439174,0.0008927687
439175,0.0763567
439176,0.007370959
439177,0.011098976
439178,0.0006028248
439179,0.030521957
439180,0.73798037
439181,0.056911997
439182,0.004677549
439183,0.4035221
439184,0.46035424
439185,0.0029648365
439186,0.157609
439187,0.0018381998
439188,0.0016964298
439189,0.099404134
439190,0.011743394
439191,0.0017907438
439192,0.045977313
439193,0.00087852485
439194,0.008084789
439195,0.017258063
439196,0.020062083
439197,0.017115269
439198,0.015891733
439199,0.16310376
439200,0.13060425
439201,0.0029755728
439202,0.047109228
439203,0.28084823
439204,0.06367116
439205,0.0865408
439206,0.0010557084
439207,0.019562455
439208,0.014357854
439209,0.016999861
439210,0.0010310889
439211,0.016481124
439212,0.015556962
439213,0.100620605
439214,0.0013354078
439215,0.075704254
439216,0.6954429
439217,0.29411027
439218,0.0030692606
439219,0.11729429
439220,0.282315
439221,0.0016855041
439222,0.0012594638
439223,0.1456557
439224,0.0052756104
439225,0.045615017
439226,0.034437697
439227,0.034082692
439228,0.024858385
439229,0.0416699
439230,0.016679674
439231,0.0010173643
439232,0.36588672
439233,0.00065227796
439234,0.13867685
439235,0.27648947
439236,0.08063666
439237,0.16004074
439238,0.008766934
439239,0.0048409533
439240,0.023735315
439241,0.12080785
439242,0.0050530843
439243,0.006843596
439244,0.0018092808
439245,0.1181295
439246,0.062619016
439247,0.0021054698
439248,0.09240216
439249,0.11143342
439250,0.042683914
439251,0.05697659
439252,0.0015106617
439253,0.01543184
439254,0.03370121
439255,0.025967155
439256,0.021176858
439257,0.03676857
439258,0.016136589
439259,0.0030337065
439260,0.003633412
439261,0.21785745
439262,0.0014612206
439263,0.34897476
439264,0.004104094
439265,0.11223093
439266,0.32836306
439267,0.06554529
439268,0.075095184
439269,0.12262687
439270,0.1050098
439271,0.25161776
439272,0.0033524525
439273,0.14922845
439274,0.00072429236
439275,0.12532367
439276,0.009066799
439277,0.008892822
439278,0.007317089
439279,0.0016531714
439280,0.008975944
439281,0.026564142
439282,0.0005732641
439283,0.03310824
439284,0.12113365
439285,0.1566071
439286,0.63541716
439287,0.009251373
439288,0.1521083
439289,0.26784813
439290,0.004482819
439291,0.31409755
439292,0.11934706
439293,0.11159922
439294,0.10429103
439295,0.020893915
439296,0.002583906
439297,0.0009559701
439298,0.021344133
439299,0.0010420732
439300,0.011774974
439301,0.31547776
439302,0.00693468
439303,0.0113488715
439304,0.0010326835
439305,0.0072065154
439306,0.0020383757
439307,0.057944734
439308,0.18250152
439309,0.1464685
439310,0.109389804
439311,0.028232152
439312,0.22028184
439313,0.12633216
439314,0.054891184
439315,0.009574844
439316,0.0067282133
439317,0.006792698
439318,0.023578927
439319,0.019765655
439320,0.014641775
439321,0.010630858
439322,0.006091514
439323,0.0050975326
439324,0.005969223
439325,0.0006612722
439326,0.07919591
439327,0.057120558
439328,0.017587863
439329,0.34102994
439330,0.135005
439331,0.2042255
439332,0.12572561
439333,0.053435955
439334,0.1860625
439335,0.017850786
439336,0.041233968
439337,0.010671307
439338,0.007100475
439339,0.009116333
439340,0.009667614
439341,0.013250263
439342,0.23878862
439343,0.19400676
439344,0.08030308
439345,0.076063946
439346,0.002246296
439347,0.0011826397
439348,0.0016358022
439349,0.04175308
439350,0.0070025288
439351,0.021078898
439352,0.0008271927
439353,0.11593953
